pn_name,mention_count,row_count,pn_sources,pn_variants,spellings_checked
Enna-Suen,96,96,onomasticon,Enna-Suen,e-na-sú-in; en-na-sú-en; en-na-sú-en6; en-na-sú-in; i-na-sú-in
Ennānum,94,94,onomasticon,Ennānum,en; en-na-nu-um
Aššur-imittī,93,93,lexicon; onomasticon,Aššur-imittī,a-šu-im-mì-tí; a-šur-i-mi-ti; a-šur-i-mi-tí; a-šur-i-mì-ti; a-šur-i-mì-ti-ma; a-šur-i-mì-tì; a-šur-i-mì-tí; a-šur-i-mì-tí-ma; a-šur-mì-tì; a-šur-mì-tí; a-šur-ì-mì-tí; a-šùr-i-mi-ti; a-šùr-i-mì-ti; a-šùr-i-mì-tí; a-šùr-i-mì-tí-i; a-šùr-i-mì-tí-ma; a-šùr-im-mì-tí; a-šùr-mì-ti; a-šùr-mì-tí; a-šùr-mì-tí-ma; {d}a-šur-i-mì-tí; {d}a-šur4-i-mì-tí; {d}a-šùr-i-mì-ti; {d}a-šùr-i-mì-tí; {m}a-šur-i-mì-tí; {m}a-šùr-i-mì-tí
Itūr-ilī,88,88,lexicon; onomasticon,Itūr-ilī,i-tur4-dingir; i-tur4-dingir-lim; i-tur4-dingir-ma; i-tur4-ì-lí; i-tù-ur-; i-tù-ur-dingir; i-tùr-dingir; {m}i-tur4-dingir
La-qep,88,88,onomasticon,La-qep; Lā-qēp,lá-qé-pu-um
Šu-Bēlum,85,85,onomasticon,Šu-Bēlum,šu-be; šu-be-lam
Šu-Kūbum,83,83,onomasticon,Šu-Kūbum,šu-ku-bi-im; šu-ku-bi4-im; šu-ku-bu-um
Aššur-ṭab,81,81,lexicon; onomasticon,Aššur-ṭab; Aššur-ṭāb,a-šu-ur-du10; a-šur-du; a-šur-du10; a-šur-du10-ma; a-šur-du10-ni; a-šur-du8; a-šur-dug; a-šur-dug-ma; a-šur-dùg; a-šur-dùg-ma; a-šur-ṭa-áb; a-šur-ṭá-áb; a-šùr-du-ma; a-šùr-du10; a-šùr-du10-ma; a-šùr-dug; a-šùr-dug-ma; a-šùr-dùg; a-šùr-dùg-ma; a-šùr-tab; a-šùr-ṭá-áb; {d}a-šur-dùg; {d}a-šùr-du10; {d}a-šùr-dug
Iddin-Aššur,71,71,lexicon; onomasticon,Iddin-Aššur,e-dì-na-a-šur; e-dì-na-a-šùr; e-dí-; e-dí-a-šur; e-dí-a-šùr; e-dí-in-; e-dí-in-a-šur; e-dí-in-a-šùr; e-dí-in-a-šùr-ma; e-dí-in={d}a-šùr; e-dí-na; e-dí-na-a-šur; e-dí-na-a-šùr; e-dí={d}a-šur-ma; i-di-a-šur; i-di-a-šùr; i-dì-a-šur; i-dì-a-šùr; i-dì-a-šùr-ma; i-dí; i-dí-a-šur; i-dí-a-šur-ma; i-dí-a-šùr; i-dí-a-šùr-ma; i-dí-i-šur; i-dí-in-a-šur; i-dí-in={d}a-šur; i-dí-in={d}a-šùr; i-dí-na-a-šur; i-dí={d}a-šur; i-dí={d}a-šùr; id-na-; id-na-a-šur; id-na-a-šur-ma; id-na-a-šùr; {m}i-dí-a-šùr; {m}i-dí-in-a-šùr; {m}i-dí-in-{d}a-šùr; ì-dí-a-šur
Ikūn-pīya,63,63,onomasticon,Ikūn-pīya,i-ku-pí-a
Ilī-bāni,60,60,lexicon; onomasticon,Ilī-bāni; Ilī-bānī,dingir-ba-ni; dingir-ba-ni-ma; dingir-il5-ba-ni; i-li-ba-ni; i-li-ba-ni-ma; il5-ba-ni; il5-ba-ni-ma; il5-li-ba-ni; ili5-ba-ni; ili5-ba-ni-ma; {d}il5-ba-ni; {m}il5-ba-ni; {m}ì-il5-ba-ni; ì-lí-ba-ni; ì-lí-ba-ni-ma
Aššur-nādā,60,60,lexicon; onomasticon,Aššur-nādā,a-šur-na-da; a-šur-na-da-ma; a-šur-na-id; a-šùr-na-da; a-šùr-na-da-ma; a-šùr-na-id; {d}a-šur-na-da; {d}a-šur-na-da-ma; {d}a-šùr-na-da; {d}a-šùr-na-da-ma
Aššur-bāni,55,55,lexicon; onomasticon,Aššur-bāni; Aššur-bānī,a-šur-ba-ni; a-šur-ba-ni-ma; a-šùr-ba-ni; a-šùr-ba-ni-ma; {d}a-šur-ba-ni; {d}a-šùr-ba-ni; {m}a-šur-ba-ni; {m}a-šùr-ba-ni
Ennam-Suen,55,55,lexicon,Ennam-Suen,e-na-su-in; e-na-sí-in; e-na-sú-en; e-na-sú-en6; e-na-sú-en6-ma; e-na-sú-in; e-na-sú-in-ma; e-nam-sú-en6; e-nam-sú-in; en-na-su-en; en-na-su-en6; en-na-su-in; en-na-su-in-ma; en-na-sú; en-na-sú-en; en-na-sú-en-ma; en-na-sú-en6; en-na-sú-en6-ma; en-na-sú-in; en-na-sú-in-ma; en-na-sú-ma; en-na-zu; en-na-zu-ma; en-na={d}en.zu; en-na={d}sú-en6; en-nam-sú-en6; en-nam-sú-in; en-nu-sú-in; en-nu-um-sú-in; en-um-sú-en6; en6-na-sú-en6; en6-na-sú-en6-ma; i-na-su-in; i-na-sí-in4; i-na-sú; i-na-sú-en; i-na-sú-en6; i-na-sú-en6-ma; i-na-sú-in; i-na-sú-in-ma; i-na-zu; in-na-sú-en6; {m}e-na-sú-en6; {m}en-na-sú-en6; {m}i-na-sú-en6
Adida,54,54,lexicon; onomasticon,Adida,a-di-da; a-dí-da; a-dí-da-a; a-dí-da-ma; a-dí-dá; a-dí-ta
Amur-Aššur,52,52,lexicon; onomasticon,Amur-Aššur,a-mu-ur-a-šu-ùr; a-mu-ur-a-šur; a-mu-ur-a-šùr; a-mur-a-šu-ùr; a-mur-a-šur; a-mur-a-šur-ma; a-mur-a-šùr; a-mur-a-šùr-ma; a-mur={d}a-šur; a-mur={d}a-šur-ma; a-mur={d}a-šùr; a-mur={d}a-šùr-ma
Belum-bani,50,50,lexicon; onomasticon,Belum-bani; Bēlum-bāni; Bēlum-bānī,be-lim-ba-ni; be-lu-ba-ni; be-lu-ba-ni-ma; be-lú-ba-ni; be-lúm-ba-lim; be-lúm-ba-ni; be-lúm-ba-ni-ma; bé-lu-ba-ni; bé-lu-ba-ni-ma; bé-lu-um-ba-ni; bé-lum-ba-ni; bé-lúm-ba-ni; bé-lúm-ba-ni-ma; {d}be-lúm-ba-ni; {m}be-lúm-ba-ni
Puzur-Ištar,49,49,lexicon; onomasticon,Puzur-Ištar,man-ištar; man.ištar; puzur4-iš-tar; puzur4-iš-tár; puzur4-ištar; puzur4.ištar; puzur4.ištar-ma; púzur-iš-tar; púzur-ištar; púzur-ša-ištar; púzur.be-ištar; púzur.ištar; púzur.ištar-ma; {m}púzur.ištar
Aššur-taklaku,47,47,lexicon; onomasticon,Aššur-taklaku; Aššur-taklāku,a-šu-ur-ta-ak-lá-ku; a-šu-ur-ta-ak-lá-ku-ma; a-šur-ta-ak-la-ak-ma; a-šur-ta-ak-la-ku; a-šur-ta-ak-la-ku-ma; a-šur-ta-ak-lá-ak; a-šur-ta-ak-lá-ak-ma; a-šur-ta-ak-lá-ku; a-šur-ta-ak-lá-ku-ma; a-šur-ta-at-lá-ku; a-šur-ta-ku-lá-ku; a-šur-ták-la-ku; a-šur-ták-la-ku-ma; a-šur-ták-lá-ak-ma; a-šur-ták-lá-ku; a-šur-ták-lá-ku-ma; a-šùr-ta-ak-la-ku; a-šùr-ta-ak-la-ku-ma; a-šùr-ta-ak-lá; a-šùr-ta-ak-lá-ak; a-šùr-ta-ak-lá-ak-ma; a-šùr-ta-ak-lá-ki; a-šùr-ta-ak-lá-ku; a-šùr-ta-ak-lá-ku-ma; a-šùr-ta-ak-lá-lu; a-šùr-ták-la-ku; a-šùr-ták-la-ku-ma; a-šùr-ták-lá-ak-ma; a-šùr-ták-lá-ku; a-šùr-ták-lá-ku-ma; {d}a-šur-ták-lá-ku; {d}a-šùr-ta-ak-lá-ku; {d}a-šùr-ták-la-ku; {d}a-šùr-ták-lá-ku; {m}a-šur-ták-lá-ku
Damiq-pi-Aššur,47,47,lexicon; onomasticon,Damiq-pi-Aššur; Damiq-pī-Aššur,da-mì-iq-pì-a-šur-ma; da-mì-iq-pí-a-šùr; dá-mì-iq-pì-a-šur-ma; dá-mì-iq-pì-a-šùr-ma; sig5-pì-a-šur; sig5-pì-a-šur-ma; sig5-pì-a-šùr; sig5-pì-i-a-šur; sig5-pì-i-a-šur-ma; sig5-pì-i-a-šùr; sig5-pì-i-a-šùr-ma; sig5-pí-a-šur; sig5-pí-a-šur-ma; sig5-pí-a-šùr; sig5-pí-a-šùr-ma; sig5-pí-i-a-šur; sig5-pí-i-a-šur-ma; sig5-pí-i-a-šùr; sig5-pí-i-a-šùr-ma
Pilah-Ištar,47,47,lexicon; onomasticon,Pilah-Ištar; Pilaḫ-Ištar,pi-la-ah-ištar; pì-la-ah-ištar; pì-lá-ah-ištar; pì-lá-ah-ištar-ma; pí-la-ah-ištar; pí-la-ah-ištar-ma; pí-lá-ah-ištar; pí-lá-ah-ištar-ma; pí-lá-hi-ištar; pí-lá-hi-ištar-ma
Amurrum-bāni,47,47,lexicon; onomasticon,Amurrum-bāni; Amurrum-bānī,a-mu-ru-ba-ni; a-mu-ru-ba-ni-ma; a-mu-ru-um-ba-ni; a-mu-ru-um-ba-ni-ma; a-mu-ur-ba-ni; ba-ni; ba-ni-i; mar.tu-ba-ni; mar.tu-ba-ni-ma; pá-ni-i; {d}mar.tu-ba-ni; {d}mar.tu-ba-ni-ma
Dan-Aššur,44,44,lexicon; onomasticon,Dan-Aššur; Dān-Aššur,da-an-a-šùr; da-na-a-šur; da-na-a-šur-ma; da-na-a-šùr; dan-a-šur; dan-a-šur-ma; dan-a-šùr; dan-a-šùr-ma; dan-na-a-šur; dan-na-a-šùr; dan={d}a-šur; dan={d}a-šur-ma; dan={d}a-šùr; {m}dan-a-šur; {m}dan-a-šùr
Aššur-bel-awatim,44,44,onomasticon,Aššur-bel-awatim; Aššur-bēl-awātim,a-šùr-be-el-a-wa-tim; a-šùr-be-lá-wa-tim
Šu-Anum,44,44,onomasticon,Šu-Anum,šu-a-nu-um; šu-a-num
Abu-šalim,43,43,onomasticon,Abu-šalim,a-bu-ša-lim
Iddin-Suen,43,43,lexicon; onomasticon,Iddin-Suen,e-dí-in-sú-en6; i-di-sú-en6; i-di-sú-in; i-di={d}en-zu; i-dì-sú-en6; i-dí-en.zu-ma; i-dí-su-en6; i-dí-su-en6-ma; i-dí-su-in; i-dí-sú-en; i-dí-sú-en-ma; i-dí-sú-en6; i-dí-sú-en6-ma; i-dí-sú-in; i-dí-sú-in-ma; i-dí-zu; i-dí={d}en.zu; i-dí={d}en.zu-ma; i-sú-en6
Aššur-idī,42,42,lexicon; onomasticon,Aššur-idī,a-šur-i-di; a-šur-i-dì; a-šur-i-dí; a-šur-i-dí-ma; a-šur-id-i; a-šùr-i-di; a-šùr-i-dì; a-šùr-i-dì-ma; a-šùr-i-dí; a-šùr-i-dí-ma; {d}a-šur-i-dí; {d}a-šur-i-dí-ma; {d}a-šùr-i-dí; {d}a-šùr-i-dí-ma; {m}a-šur-i-dì; {m}a-šùr-i-dí
Issu-arik,40,40,lexicon; onomasticon,Issu-arik,i-sú-a-ri-ik; i-sú-a-rik; i-sú-ri-ik; i-sú-ri-ik-ma; i-sú-ri-iq; i-sú-rik; i-sú-rik13; i-sú-sud; {m}i-sú-ri-ik
Ali-abum,39,39,onomasticon,Ali-abum,a-la-bu-um; a-lá-bi-im; a-lá-bi4-im; a-lá-bu-um
Aššur-šamši,38,38,lexicon; onomasticon,Aššur-šamši; Aššur-šamšī,a-šur-utu; a-šur-utu-ši; a-šur-utu-ši-ma; a-šur-ša-am-ší; a-šur={d}utu; a-šur={d}utu-ma; a-šur={d}utu-ši; a-šur={d}utu-ši-ma; a-šur={d}utu-ší; a-šùr-utu; a-šùr-utu-ma; a-šùr-utu-ši; a-šùr-utu-ši-ma; a-šùr-{d}utu-ši; a-šùr-{d}utu.si; a-šùr-ša-am-ší; a-šùr={d}utu; a-šùr={d}utu-ma; a-šùr={d}utu-ši; a-šùr={d}utu-ši-ma; a-šùr={d}utu-ší; {d}a-šur-{d}utu-ši; {d}a-šur-{d}utu-ší; {d}a-šur={d}utu-ší
Puzur-Anna,34,34,lexicon; onomasticon,Puzur-Anna,man-a-na; man-a-na-ma; puzur4-a-na; puzur4-a-na-ma; puzur4-e-na; puzur4-en-na; púzur-a-na; púzur-a-na-ma; {m}puzur4-a-na; {m}púzur-a-na
Ataya,33,33,onomasticon,Ataya; Atāya,a-ta; a-ta-a; a-ta-a-a; a-ta-i-a
Šalim-wardī,33,33,lexicon; onomasticon,Šalim-wardī,ša-li-wa-ar-dí; ša-lim-a-ar-dí; ša-lim-ar-dim; ša-lim-ar-dí; ša-lim-wa-ar-dim; ša-lim-wa-ar-dim-ma; ša-lim-wa-ar-du; ša-lim-wa-ar-dí; ša-lim-wa-ar-dí-e; ša-lim-wa-ar-dí-ma; ša-lim-ìr-dí; še-lu-um-ar-dí; šu-lu-um-ur-dí
Uṣur-ša-Aššur,33,33,lexicon; onomasticon,Uṣur-ša-Aššur,u-ṣur-ša-a-šur; u-ṣú-ur-ša-a-šur; u-ṣú-ur-ša-a-šùr; {m}ú-ṣú-ur-ša-a-šur; ù-ṣur-ša-a-šùr; ù-ṣú-ur-ša-a-šur; ú-sú-ur-ša-a-šùr; ú-ṣur-ša-a-šur; ú-ṣur-ša-a-šur-ma; ú-ṣur-ša-a-šùr; ú-ṣur-ša-a-šùr-ma; ú-ṣur-ša-šùr-ma; ú-ṣú-ur-ša-a-šur; ú-ṣú-ur-ša-a-šur-ma; ú-ṣú-ur-ša-a-šùr; ú-ṣú-ur-ša-a-šùr-ma; ú-ṣú-ša-a-šùr
Šēp-Ištar,33,33,lexicon; onomasticon,Šēp-Ištar,šé-ep-ištar; šé-ep-ištar-ma; šé-pì-ištar; šé-pí-ištar
Šu-Aššur,33,33,lexicon; onomasticon,Šu-Aššur,su-a-šur; šu-a-šur; šu-a-šur-ma; šu-a-šùr; šu-a-šùr-ma; šu={d}a-šur; šu={d}a-šùr
Kurub-Ištar,32,32,lexicon; onomasticon,Kurub-Ištar,ku-ru-ub-ištar; ku-ur-ub-ištar; kur-be-ištar; kur-bi-ištar; kur-ub-; kur-ub-iš-tár; kur-ub-ištar; kur-ub-ištar-ma; qur-ub-ištar-ma
Ahu-waqar,30,30,lexicon; onomasticon,Ahu-waqar; Aḫu-waqar,a-hu-qar; a-hu-qar-ma; a-hu-qá-ar; a-hu-wa-qar; a-hu-wa-qar-ma; {m}a-hu-qar
Ikūnum,30,30,onomasticon,Ikūnum,i-ku-nu-um
Amur-Šamaš,30,30,lexicon; onomasticon,Amur-Šamaš,a-mur-{d}utu; a-mur={d}utu; a-mur={d}utu-ma; a-mur={d}utu-ši; a-mur={d}utu-ší; am-ur={d}utu; {m}a-mur-{d}utu
Aššuriš-tikal,30,30,lexicon; onomasticon,Aššuriš-tikal,a-šur-eš-tí-kál; a-šur-iš-ta-ki-il; a-šur-iš-ta-ki-il5; a-šur-iš-ta-ki-il5-ma; a-šur-iš-ta-kál; a-šur-iš-ti-kál; a-šur-iš-tí-kál; a-šur-iš-tí-kál-ma; a-šur-ìš-tí-kál; a-šùr-eš-tí-kál; a-šùr-iš-ta-ki-il5; a-šùr-iš-ta-kál; a-šùr-iš-ti-kál; a-šùr-iš-ti-kál-ma; a-šùr-iš-tí-kál; a-šùr-iš-tí-kál-ma; a-šùr-ìš-tí-kál; a-šùr-ìš-tí-kál-ma; {d}a-šur-iš-tí-kál; {d}a-šùr-iš-tí-kál; {m}a-šur-iš-tí-kál
Aššur-rē'ī,30,30,lexicon,Aššur-rē'ī,a-šur-e-um; a-šur-pa; a-šur-pa-lu; a-šur-re-i; a-šur-re-i-ma; a-šur-re-im; a-šur-sipa; a-šur-sipa-ma; a-šùr-pa; a-šùr-pa-lu; a-šùr-pa.zi; a-šùr-re-i-ma; a-šùr-sipa; a-šùr-sipa-ma; {d}a-šur-sipa; {d}a-šur-sipa-ma; {d}a-šùr-sipa-ma; {d}a-šùr-sipa-ú; {m}{d}a-šùr-sipa
Šu-Suen,30,30,lexicon; onomasticon,Šu-Suen,{m}šu-sú-en6; šu-su-en6; šu-sú-en; šu-sú-en-ma; šu-sú-en6; šu-sú-en6-ma; šu-sú-in; šu-sú-in-ma; šu-šu-en6; šu={d}en-zu; šu={d}en.zu
Lā-qēpum,30,30,onomasticon,Lā-qēpum,lá-qé-pu-um
Ištar-lamassī,29,29,lexicon; onomasticon,Ištar-lamassī,ištar-la-ma-sí; ištar-lá-ma-sí; ištar-lá-ma-sí-ma
Akuza,29,29,onomasticon,Akuza,a-gu-za; a-ku-za; a-ku-za-a
Lamassī,28,28,lexicon; onomasticon,Lamassī,la-ma-sà-am; la-ma-sí; la-ma-sí-ma; lá-ma-sí; lá-ma-sí-kà; lá-ma-sí-ma
Pūšu-kēn,28,28,lexicon; onomasticon,Pūšu-kēn,pu-šu-ke-en; pu-šu-ke-en-ma; pu-šu-ke-en6; pu-šu-ke-en6-ma; pu-šu-ke-in; pu-šu-ke-in-ma; pu-šu-ke-ma; pu-šu-ke-na; pu-šu-ke-nu-ma; pu-šu-ki-in; pu-šu-ki-in-ma
Aššur-lamassī,28,28,lexicon; onomasticon,Aššur-lamassī,a-šur-la-ma-sí; a-šur-la-ma-sí-ma; a-šur-lá-ma-sí; a-šur-lá-ma-sí-ma; a-šur-lá-na-sí; a-šùr-la-ma-sí; a-šùr-la-ma-sí-ma; a-šùr-lá-ma-sí; a-šùr-lá-ma-sí-ma; {d}a-šùr-la-ma-sí; {d}a-šùr-lá-ma-sí; {m}a-šur-lá-ma-sí; {m}a-šùr-lá-ma-sí
Elāli,27,27,lexicon; onomasticon,Elāli,e-la-li; e-la-li-a; e-la-li-ma; e-la-lí; e-la-lí-ma; e-lá-li; e-lá-li-a; e-lá-li-ma; e-lá-lì-a; e-lá-lí; e-lá-lí-a; e-lá-lí-ma
Belanum,26,26,onomasticon,Belanum; Bēlānum,be-lá-a-nim; be-lá-num; bé-lá-num
Ababa,25,25,lexicon; onomasticon,Ababa,a-ba-a-ba; a-ba-ba; a-ba-ba-a; a-ba-ba-a-a; a-ba-ba-a-a-ma; a-ba-ba-a-ma; a-ba-ba-ma; a-pa-pa; a-pá-pá
Ṭāb-ṣill-Aššur,25,25,lexicon; onomasticon,Ṭāb-ṣill-Aššur,du10-áb-ṣí-lá-a-šùr; du10-ṣi-lá-a-šur; du10-ṣi-lá-a-šùr; du10-ṣí-la-a-šur; du10-ṣí-la-a-šùr; du10-ṣí-li-a-šur; du10-ṣí-li-a-šùr; du10-ṣí-lá-a-šur; du10-ṣí-lá-a-šùr; du10-ṣí-lá-a-šùr-ma; du10-ṣí-lá-ištar; du10-ṣí-lá-šur; dug-áb-ṣí-lá-a-šur; dug-áb-ṣí-lá-a-šùr; dug-ṣi-la-a-šùr; dug-ṣi-lá-a-šùr; dug-ṣí-la-a-šur; dug-ṣí-li-a-šur; dug-ṣí-lá-a-šur; dug-ṣí-lá-a-šur-ma; dug-ṣí-lá-a-šùr; dug.mi-a-šur; dùg-ab-ṣí-li-a-šur; dùg-ab-ṣí-li-a-šùr; dùg-áb-ṣí-li-a-šur; dùg-áb-ṣí-li-a-šùr; dùg-áb-ṣí-lá-a-šur; dùg-ṣí-la-a-šur; dùg-ṣí-la-a-šur-ma; dùg-ṣí-la-a-šùr-ma; dùg-ṣí-li-a-šur; dùg-ṣí-li-a-šur-ma; dùg-ṣí-li-a-šùr; dùg-ṣí-lá-a-šur; dùg-ṣí-lá-a-šur-ma; dùg-ṣí-lá-a-šùr; dùg-ṣí-lí-a-šur; dùg-ṣí-lí-a-šur-ma; ṭá-áb-ṣi-lá-a-šur; ṭá-áb-ṣí-li-a-šur; ṭá-áb-ṣí-li-a-šùr; ṭá-áb-ṣí-lá-a-šur; ṭá-áb-ṣí-lá-a-šùr
Aššur-dan,25,25,lexicon; onomasticon,Aššur-dan; Aššur-dān,a-šur-da-an; a-šur-da-ni; a-šur-dan; a-šur-dan-ma; a-šùr-da-an; a-šùr-da-ni; a-šùr-dan; a-šùr-dan-ma; a-šùr-dan-ni; {d}a-šur-dan-ma; {d}a-šùr-dan; {m}{d}a-šùr-dan
Idnaya,25,25,onomasticon,Idnaya; Idnāya,id-na-a
Abiya,24,24,onomasticon,Abiya,a-be-a-a; a-be-e; a-be-i-a-a; a-bi-a; a-bi-a-a; a-bi4-a; a-bi4-a-a
Aššur-rabi,24,24,lexicon; onomasticon,Aššur-rabi,a-a-a-šùr-šùr-šùr-ra-ra-ra-bi-bi-bi; a-šu-gal; a-šu-ra-bi4; a-šur-gal; a-šur-gal-ma; a-šur-ra-bi; a-šur-ra-bi-ma; a-šur-ra-bi4; a-šùr-gal; a-šùr-gal-bi; a-šùr-gal-ma; a-šùr-ra-bi; a-šùr-ra-bi-ma; a-šùr-ra-bi4; {d}a-šùr-gal
Ah-šalim,24,24,onomasticon,Ah-šalim,ah-ša-lim
Anna-anna,24,24,lexicon,Anna-anna,a-na-a-na; a-na-a-na-ma; a-na-na; a-na-na-a; a-na-na-ma
Kura,23,23,lexicon; onomasticon,Kura; Kurā,ku-ra; ku-ra-a; ku-ra-a-a; ku-ra-a-ma; ku-ra-ma; ku-rá
Azu,22,22,lexicon; onomasticon,Azu,a-sú-ú; a-zu; a-zu-ma; a-zu-u; a-zu-ú; wa-ṣú
Annina,22,22,onomasticon,Annina,a-ni-na; a-ni-na-a
Mannum-kī-Aššur,20,20,lexicon; onomasticon,Mannum-kī-Aššur,ma-nu-ki-a-šur; ma-nu-ki-a-šur-ma; ma-nu-ki-a-šùr; ma-nu-ki-a-šùr-ma; ma-nu-ku-a-šur; ma-nu-um-ki-a-šur; ma-nu-um-ki-a-šùr; ma-nu-um-ki-{d}a-šur; ma-num-ki-a-šur; ma-num-ki-a-šur-ma; ma-num-ki-a-šùr; ma-num-ki-a-šùr-ma; {m}ma-nu-ki-a-šur
Šamaš-bāni,20,20,lexicon; onomasticon,Šamaš-bāni; Šamaš-bānī,{d}utu-ba-ni; {d}utu-ba-ni-ma; {m}{d}utu-ba-ni
Iddin-Ištar,20,20,lexicon; onomasticon,Iddin-Ištar,i-de-i-ištar; i-di-ištar; i-dí-in-ištar; i-dí-iš-tar; i-dí-ištar; i-dí-ištar-ma
Ṣilulu,19,19,lexicon; onomasticon,Ṣilulu; Ṣilūlu,sí-lu-lu; ṣi-lu-lu; ṣí-lu-lu; ṣí-lí-li-ma
Adad-bani,19,19,lexicon; onomasticon,Adad-bani; Adad-bāni; Adad-bānī,im-ba-ni; iškur-ba-ni; {d}im-ba-ni; {d}iškur-ba-ni; {d}iškur-ba-ni-ma
Manana,19,19,lexicon; onomasticon,Manana,ma-na-na; ma-na-na-ma
Zuba,18,18,lexicon; onomasticon,Zuba,zu-ba; zu-ba-ma; zu-pa; zu-pá; zu-pá-a; zu-pá-ma; ṣú-ba
Lulu,18,18,lexicon; onomasticon,Lulu,lu-li; lu-li-im; lu-lim; lu-lu; lu-lu-ma; lu-lu-um; lu-lu-ú; lu-lu-ú-ma; lu-ú-lu
Ilī-ālum,18,18,onomasticon,Ilī-ālum,-a-lim; ì-lí-a-lúm
